Id,Status__c
a1EN50000026mNNMAY,Aberto
a1EN50000026mNOMAY,Aberto
a1EN50000026mNPMAY,Aberto
a1EN50000026mNQMAY,Aberto
a1EN50000026mNRMAY,Aberto
a1EN50000026mNSMAY,Aberto
a1EN50000026mNTMAY,Aberto
a1EN50000026mNUMAY,Aberto
a1EN50000026mNVMAY,Aberto
a1EN50000026mNWMAY,Aberto
a1EN50000026mNXMAY,Aberto
a1EN50000026mNYMAY,Aberto
a1EN50000026mNZMAY,Aberto
a1EN50000026mNaMAI,Aberto
a1EN50000026mNbMAI,Aberto
a1EN50000026mNcMAI,Aberto
a1EN50000026mNdMAI,Aberto
a1EN50000026mNeMAI,Aberto
a1EN50000026mNfMAI,Aberto
a1EN50000026mNgMAI,Aberto
a1EN50000026mNhMAI,Aberto
a1EN50000026mNiMAI,Aberto
a1EN50000026mNjMAI,Aberto
a1EN50000026mNkMAI,Aberto
a1EN50000026mNlMAI,Aberto
a1EN50000026mNmMAI,Aberto
a1EN50000026mNnMAI,Aberto
a1EN50000026mNoMAI,Aberto
a1EN50000026mNpMAI,Aberto
a1EN50000026mNqMAI,Aberto
a1EN50000026mNrMAI,Aberto
a1EN50000026mNsMAI,Aberto
a1EN50000026mNtMAI,Aberto
a1EN50000026mNuMAI,Aberto
a1EN50000026mNvMAI,Aberto
a1EN50000026mNwMAI,Aberto
a1EN50000026mNxMAI,Aberto
a1EN50000026mNyMAI,Aberto
a1EN50000026mNzMAI,Aberto
a1EN50000026mO0MAI,Aberto
a1EN50000026mO1MAI,Aberto
a1EN50000026mO2MAI,Aberto
a1EN50000026mO3MAI,Aberto
a1EN50000026mO4MAI,Aberto
a1EN50000028h53MAA,Aberto
a1EN5000002BVvNMAW,Aberto
a1EN5000002BWBVMA4,Aberto
a1EN5000002E4YrMAK,Aberto
a1EN5000002E4YsMAK,Aberto
a1EN5000002E4YtMAK,Aberto
a1EN5000002E4YuMAK,Aberto
a1EN5000002E4YvMAK,Aberto
a1EN5000002E4YwMAK,Aberto
a1EN5000002E4YxMAK,Aberto
a1EN5000002E4YyMAK,Aberto
a1EN5000002E4YzMAK,Aberto
a1EN5000002E4Z0MAK,Aberto
a1EN5000002E4Z1MAK,Aberto
a1EN5000002E4Z2MAK,Aberto
a1EN5000002E4Z3MAK,Aberto
a1EN5000002E4Z4MAK,Aberto
a1EN5000002E4Z5MAK,Aberto
a1EN5000002E4Z6MAK,Aberto
a1EN5000002E4Z7MAK,Aberto
a1EN5000002E4Z8MAK,Aberto
a1EN5000002E4Z9MAK,Aberto
a1EN5000002E4ZAMA0,Aberto
a1EN5000002E4ZBMA0,Aberto
a1EN5000002E4ZCMA0,Aberto
a1EN5000002E4ZDMA0,Aberto
a1EN5000002E4ZEMA0,Aberto
a1EN5000002E4ZFMA0,Aberto
a1EN5000002E4ZGMA0,Aberto
a1EN5000002E4ZHMA0,Aberto
a1EN5000002E4ZIMA0,Aberto
a1EN5000002E4ZJMA0,Aberto
a1EN5000002E4ZKMA0,Aberto
a1EN5000002E4ZLMA0,Aberto
a1EN5000002E4ZMMA0,Aberto
a1EN5000002E4ZNMA0,Aberto
a1EN5000002E4ZOMA0,Aberto
a1EN5000002E4ZPMA0,Aberto
a1EN5000002E4ZQMA0,Aberto
a1EN5000002E4ZRMA0,Aberto
a1EN5000002E4ZSMA0,Aberto
a1EN5000002E4ZTMA0,Aberto
a1EN5000002E4ZUMA0,Aberto
a1EN5000002E4ZVMA0,Aberto
a1EN5000002E4ZWMA0,Aberto
a1EN5000002E4ZXMA0,Aberto
a1EN5000002E4ZYMA0,Aberto
a1EN5000002E4ZZMA0,Aberto
a1EN5000002E4ZaMAK,Aberto
a1EN5000002E4ZbMAK,Aberto
